ts,date,hynix_lev,muu,snxx,sndu,hynix_ud,micron_ud,sandisk_ud,usdkrw,total_krw,zone
2026-07-14,2026-07-14,13475.00,742.65,22.93,36.67,1913000.00,983.12,1757.82,1487.86,82420372,ORANGE
2026-07-15,2026-07-15,15955.00,31.27,19.30,30.82,2082000.00,904.28,1615.00,1486.52,74933693,RED
2026-07-16,2026-07-16,12260.00,27.51,14.48,22.71,1842000.00,853.20,1411.08,1477.72,59726540,RED
2026-07-17,2026-07-17,12260.00,27.24,13.20,20.98,1842000.00,848.95,1354.82,1487.46,57944688,RED
2026-07-18,2026-07-18,12260.00,27.24,13.20,20.98,1842000.00,848.95,1354.82,1487.46,57944688,RED
2026-07-19,2026-07-19,12260.00,27.24,13.20,20.98,1842000.00,848.95,1354.82,1486.88,57927902,RED
2026-07-20,2026-07-20,11190.00,28.31,13.86,22.09,1764000.00,865.46,1390.95,1475.38,58190287,RED
2026-07-21,2026-07-21,12085.00,35.14,17.82,28.42,1836000.00,970.82,1589.40,1479.79,71113261,RED
2026-07-22,2026-07-22,11990.00,34.29,18.02,28.80,1830000.00,959.48,1599.27,1476.31,70441640,RED
2026-07-23,2026-07-23,13110.00,36.49,18.32,29.19,1919000.00,990.21,1610.33,1474.59,74044881,RED
2026-07-24,2026-07-24,10990.00,31.27,14.42,22.79,1759000.00,920.95,1436.56,1459.42,60752756,RED
2026-07-25,2026-07-25,10990.00,31.27,14.42,22.79,1759000.00,920.95,1436.56,1462.10,60839796,RED
2026-07-26,2026-07-26,10990.00,31.27,14.42,22.79,1759000.00,920.95,1436.56,1459.42,60752756,RED
2026-07-27,2026-07-27,11740.00,29.92,11.24,17.79,1816000.00,900.20,1278.23,1464.94,56067201,RED
2026-07-28,2026-07-28,8440.00,24.55,8.04,12.58,1550000.00,820.53,1096.10,1453.70,42557528,RED
2026-07-29,2026-07-29,6655.00,19.63,6.90,10.76,1401000.00,739.00,1015.89,1443.70,34406900,RED
2026-07-30,2026-07-30,5910.00,26.97,10.48,16.40,1322000.00,874.66,1279.96,1421.64,44210789,RED
2026-07-31,2026-07-31,9260.00,26.97,10.48,16.40,1716000.00,874.66,1279.96,1436.70,48673312,RED
2026-07-31 15:12,2026-07-31,9290.00,26.97,10.48,16.40,1717000.00,874.66,1279.96,1436.70,48709762,RED
2026-07-31 15:18,2026-07-31,9325.00,26.97,10.48,16.40,1718000.00,874.66,1279.96,1436.70,48752287,RED
2026-07-31 15:27,2026-07-31,9350.00,26.97,10.48,16.40,1718000.00,874.66,1279.96,1436.70,48782662,RED
2026-07-31 18:50,2026-07-31,9445.00,26.97,10.48,16.40,1718000.00,874.66,1279.96,1437.00,48905903,RED
2026-08-01 01:49,2026-08-01,9445.00,24.19,9.64,15.17,1718000.00,831.21,1232.40,1438.73,45445026,RED
2026-08-01 04:44,2026-08-01,9445.00,24.44,9.56,15.02,1718000.00,835.90,1227.71,1442.92,45635050,RED
2026-08-01 08:09,2026-08-01,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1442.07,44646312,RED
2026-08-01 13:25,2026-08-01,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-01 18:10,2026-08-01,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-02 01:05,2026-08-02,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-02 04:19,2026-08-02,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-02 08:00,2026-08-02,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-02 13:28,2026-08-02,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-02 18:14,2026-08-02,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-03 01:06,2026-08-03,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-03 04:20,2026-08-03,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1436.60,44520492,RED
2026-08-03 08:01,2026-08-03,9445.00,23.67,9.34,14.62,1718000.00,823.03,1214.83,1437.32,44537052,RED
2026-08-03 13:35,2026-08-03,8060.00,23.67,9.34,14.62,1591000.00,823.03,1214.83,1429.64,42677623,RED
